video,start_frame,target_frame,x_GT,y_GT
bug_clip5.mp4,360,390,29.525910277121902,1.43270784143159
bug_clip5.mp4,463,493,22.400273393811354,14.092084006462033
bug_clip5.mp4,565,595,30.51137069715421,19.55001864048714
bug_clip5.mp4,668,698,11.939232011929908,29.85945072697899
bug_clip5.mp4,771,801,0.5685348577109471,5.2987448738660365
bug_clip5.mp4,873,903,29.677519572511486,1.281098546042003
bug_clip5.mp4,976,1006,25.129240710823904,1.9633403752951446
bug_clip5.mp4,1078,1108,27.78240338014166,11.742139927923452
bug_clip5.mp4,1181,1211,23.0067105753697,17.95812103889648
bug_clip5.mp4,1284,1314,20.12613396296756,22.506399900584068
bug_clip5.mp4,1386,1416,11.560208773455942,14.850130483409963
bug_clip5.mp4,1489,1519,12.924692431962217,2.721386852243074
bug_clip5.mp4,1592,1622,19.06486889524046,1.735926432210764
bug_clip5.mp4,1694,1724,23.309929166148873,5.677768112340004
bug_clip5.mp4,1797,1827,27.706598732446867,30.086864670063374
bug_clip5.mp4,1899,1929,3.145892879333911,30.617497203926927
bug_clip5.mp4,2002,2032,2.463651050080775,29.480427488505033
bug_clip5.mp4,2105,2135,1.1749720392692924,2.114949670684726
bug_clip5.mp4,2207,2237,3.449111470113085,1.9633403752951446
bug_clip5.mp4,2310,2340,29.071082390953144,18.41294892506524
bug_clip6.mp4,360,390,1.649536737772028,1.7119694031458705
bug_clip6.mp4,463,493,3.292501616031021,7.429487179487162
bug_clip6.mp4,565,595,9.864361129066989,9.99251238957119
bug_clip6.mp4,668,698,12.493104934281376,20.2446132299073
bug_clip6.mp4,771,801,11.047295841413462,8.875296272355078
bug_clip6.mp4,873,903,13.54460245636713,4.143557422969178
bug_clip6.mp4,976,1006,17.42199956905835,5.78652230122817
bug_clip6.mp4,1078,1108,21.89086403792281,4.603587588881699
bug_clip6.mp4,1181,1211,22.876642964878208,13.015567765567738
bug_clip6.mp4,1284,1314,14.793255763843964,9.861075199310475
bug_clip6.mp4,1386,1416,19.196401637578063,3.1577784960137825
bug_clip6.mp4,1489,1519,14.398944193061809,2.7634669252316266
bug_clip6.mp4,1592,1622,30.23712561947849,29.839528118939818
bug_clip6.mp4,1694,1724,30.17140702434813,29.773809523809458
bug_clip6.mp4,1797,1827,29.579939668174895,30.36527687998269
bug_clip6.mp4,1899,1929,29.514221073044535,30.496714070243414
bug_clip6.mp4,2002,2032,29.579939668174895,30.562432665373773
bug_clip6.mp4,2105,2135,29.579939668174895,30.430995475113058
bug_clip6.mp4,2207,2237,27.27978883861231,28.3937190260719
bug_clip6.mp4,2310,2340,27.80553759965518,30.36527687998269
